Dairy products: Per capita availability1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Fluid milk and cream2,Butter,Cheese,,,,,Frozen dairy products,,,,,,Evaporated & condensed milk,,,Dry dairy products,,,,,All dairy products4,,,,,,,,,,
,,,Whole and part-skim milk cheese3,,,Cottage cheese,,Ice cream,Lowfat and nonfat ice cream5,Sherbet,Frozen yogurt,Other frozen products6,Total4,Bulk and canned,,,Dry milks,,,,Dried whey7,,,,,,,,,,,
,,,,,,,,,,,,,,Whole milk,Skim milk,Total4,Whole milk,Nonfat milk,Buttermilk,Total4,,Milk equivalent,,,,,,,,,,
,,,American,Other,Total4,Lowfat,Total,,,,,,,,,,,,,,,,,,,,,,,,,
,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- Pounds -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,306.3,17.9,2.5,1.4,3.8,NA,0.6,1.6,NA,NA,NA,NA,1.6,5.5,0.6,6.1,--,NA,NA,NA,NA,770.0,,,,,,,,,,
1910,289.1,18.4,2.8,1.5,4.3,NA,0.6,1.9,NA,NA,NA,NA,1.9,5.8,0.7,6.5,--,NA,NA,NA,NA,759.0,,,,,,,,,,
1911,280.4,18.7,2.5,1.5,4.0,NA,0.7,2.3,NA,NA,NA,NA,2.3,6.4,0.8,7.2,--,NA,NA,NA,NA,749.0,,,,,,,,,,
1912,309.1,16.6,2.4,1.4,3.9,NA,0.7,2.7,NA,NA,NA,NA,2.7,7.1,0.8,7.9,--,NA,NA,NA,NA,763.0,,,,,,,,,,
1913,297.2,16.5,2.7,1.6,4.2,NA,0.7,3.0,NA,NA,NA,NA,3.0,8.0,0.9,8.9,--,NA,NA,NA,NA,754.0,,,,,,,,,,
1914,279.3,17.0,2.7,1.6,4.2,NA,0.7,3.4,NA,NA,NA,NA,3.4,8.9,1.0,9.9,--,NA,NA,NA,NA,747.0,,,,,,,,,,
1915,260.5,17.2,2.6,1.6,4.1,NA,0.7,3.9,NA,NA,NA,NA,3.9,9.5,1.2,10.7,--,NA,NA,NA,NA,751.0,,,,,,,,,,
1916,250.9,17.3,2.4,1.4,3.8,NA,0.7,4.3,NA,NA,NA,NA,4.3,9.6,1.4,11.0,--,NA,NA,NA,NA,747.0,,,,,,,,,,
1917,266.8,15.8,2.5,1.3,3.7,NA,0.7,4.8,NA,NA,NA,NA,4.8,9.5,1.6,11.1,--,NA,NA,NA,NA,729.0,,,,,,,,,,
1918,305.6,14.2,2.8,1.1,4.0,NA,0.6,6.2,NA,NA,NA,NA,6.2,10.3,1.8,12.1,--,NA,NA,NA,NA,725.0,,,,,,,,,,
1919,273.1,15.3,2.9,1.4,4.2,NA,0.6,6.6,NA,NA,NA,NA,6.6,9.8,2.1,11.9,0.1,NA,--,0.1,NA,733.0,,,,,,,,,,
1920,305.8,14.9,2.8,1.2,4.0,NA,0.6,7.2,NA,NA,NA,NA,7.2,8.6,1.6,10.2,0.1,0.2,--,0.3,NA,736.0,,,,,,,,,,
1921,298.6,16.3,2.9,1.3,4.2,NA,0.4,7.3,NA,NA,NA,NA,7.3,9.9,1.3,11.2,--,0.2,--,0.2,NA,768.0,,,,,,,,,,
1922,300.6,17.1,2.9,1.4,4.3,NA,0.5,7.8,NA,NA,NA,NA,7.8,10.9,1.4,12.3,--,0.2,--,0.2,NA,783.0,,,,,,,,,,
1923,292.2,17.9,3.1,1.4,4.5,NA,0.6,8.6,NA,NA,NA,NA,8.6,11.5,1.8,13.3,0.1,0.4,--,0.5,NA,787.0,,,,,,,,,,
1924,293.9,17.9,3.3,1.3,4.6,NA,0.8,8.4,NA,NA,NA,NA,8.4,11.8,1.8,13.6,0.1,0.4,--,0.5,NA,796.4,,,,,,,,,,
1925,301.7,18.1,3.3,1.4,4.7,NA,0.9,9.3,NA,NA,NA,NA,9.3,11.7,1.9,13.6,0.1,0.4,--,0.5,NA,801.8,,,,,,,,,,
1926,301.2,18.3,3.2,1.4,4.6,NA,1.0,9.1,NA,NA,NA,NA,9.1,11.8,2.5,14.3,0.1,0.5,--,0.6,NA,818.0,,,,,,,,,,
1927,298.1,18.3,3.2,1.4,4.6,NA,1.0,9.5,NA,NA,NA,NA,9.5,11.6,2.5,14.1,0.1,0.7,--,0.8,NA,812.9,,,,,,,,,,
1928,298.4,17.6,3.0,1.4,4.4,NA,1.2,9.5,NA,NA,NA,NA,9.5,12.2,2.7,14.9,0.1,0.8,--,0.9,NA,804.8,,,,,,,,,,
1929,300.3,17.6,3.2,1.5,4.7,NA,1.2,10.2,NA,NA,NA,NA,10.2,13.6,3.1,16.7,0.1,1.1,--,1.2,NA,811.9,,,,,,,,,,
1930,298.1,17.6,3.2,1.5,4.7,NA,1.2,9.3,NA,NA,NA,NA,9.3,13.6,2.7,16.3,0.1,1.3,--,1.4,NA,819.0,,,,,,,,,,
1931,298.1,18.3,3.1,1.4,4.5,NA,1.2,8.2,NA,NA,NA,NA,8.2,13.4,2.4,15.8,0.1,1.4,--,1.5,NA,837.3,,,,,,,,,,
1932,303.9,18.5,3.0,1.4,4.4,NA,1.3,6.0,NA,NA,NA,NA,6.0,14.0,2.2,16.2,0.1,1.4,--,1.5,NA,831.1,,,,,,,,,,
1933,302.6,18.1,3.2,1.4,4.5,NA,1.2,5.8,NA,NA,NA,NA,5.8,13.8,2.0,15.8,0.1,1.4,--,1.5,NA,813.4,,,,,,,,,,
1934,292.4,18.5,3.4,1.5,4.9,NA,1.2,6.8,NA,NA,NA,NA,6.8,15.0,2.2,17.2,0.1,1.5,--,1.6,NA,812.9,,,,,,,,,,
1935,296.6,17.5,3.8,1.5,5.3,NA,1.3,7.7,NA,NA,NA,NA,7.7,16.2,2.4,18.6,0.1,1.6,--,1.7,NA,799.0,,,,,,,,,,
1936,299.4,16.8,3.9,1.5,5.4,NA,1.4,9.1,NA,NA,NA,NA,9.1,15.9,2.8,18.7,0.1,1.8,--,1.9,NA,791.3,,,,,,,,,,
1937,301.5,16.7,3.9,1.6,5.6,NA,1.5,10.2,NA,NA,NA,NA,10.2,16.7,3.0,19.7,0.1,1.9,--,2.0,0.1,795.9,,,,,,,,,,
1938,300.9,16.6,4.2,1.6,5.8,NA,1.6,9.9,NA,NA,NA,NA,9.9,17.2,3.2,20.4,0.1,2.1,--,2.2,0.1,794.7,,,,,,,,,,
1939,305.9,17.4,4.3,1.7,5.9,NA,1.9,10.5,NA,NA,NA,NA,10.5,17.8,3.0,20.8,0.1,2.2,--,2.3,0.1,823.1,,,,,,,,,,
1940,306.1,17.0,4.4,1.6,6.0,NA,1.9,10.8,0.4,NA,NA,NA,11.2,19.3,3.3,22.6,0.4,2.2,0.1,2.7,0.1,818.2,,,,,,,,,,
1941,309.5,16.4,4.4,1.5,5.9,NA,2.0,13.2,0.4,NA,NA,NA,13.6,19.5,4.0,23.5,0.2,2.5,0.1,2.8,0.1,811.6,,,,,,,,,,
1942,332.6,16.4,5.0,1.6,6.7,NA,2.0,15.5,0.5,NA,NA,NA,16.0,21.2,4.4,25.6,0.2,2.6,0.2,3.0,0.1,850.7,,,,,,,,,,
1943,367.5,13.1,3.8,1.8,5.6,NA,2.1,13.5,0.3,NA,NA,NA,13.9,22.6,5.1,27.7,0.4,2.2,0.2,2.8,0.1,783.9,,,,,,,,,,
1944,388.5,13.4,4.4,1.7,6.0,NA,2.2,14.5,0.3,NA,NA,NA,14.7,23.3,5.9,29.2,0.3,2.1,0.2,2.6,0.2,811.7,,,,,,,,,,
1945,397.7,11.7,4.6,1.8,6.4,NA,2.6,15.3,0.4,NA,NA,NA,15.7,22.7,7.7,30.4,0.4,3.5,0.2,4.1,0.2,792.7,,,,,,,,,,
1946,374.8,10.7,4.5,2.2,6.6,NA,2.5,22.7,0.5,NA,NA,NA,23.2,18.6,9.7,28.3,0.5,3.5,0.2,4.2,0.2,785.3,,,,,,,,,,
1947,355.9,11.3,5.2,1.7,6.9,NA,2.3,19.7,0.5,NA,NA,NA,20.2,20.8,6.8,27.6,0.5,3.7,0.1,4.3,0.2,769.6,,,,,,,,,,
1948,339.5,10.1,5.3,1.7,7.0,NA,2.5,17.7,0.6,NA,NA,NA,18.3,20.7,5.2,25.9,0.3,3.7,0.2,4.2,0.1,728.7,,,,,,,,,,
1949,334.5,10.6,5.3,1.9,7.3,NA,2.7,16.8,0.9,NA,NA,NA,17.7,19.8,5.3,25.1,0.3,4.1,0.2,4.6,0.2,735.5,,,,,,,,,,
1950,331.5,10.9,5.5,2.2,7.7,NA,3.1,16.4,1.1,0.7,NA,1.0,19.2,20.4,5.1,25.5,0.3,3.6,0.2,4.1,0.2,744.1,,,,,,,,,,
1951,333.6,9.7,5.1,2.1,7.2,NA,3.3,16.6,1.3,0.8,NA,1.1,19.8,18.8,4.8,23.6,0.3,4.2,0.2,4.7,0.1,718.8,,,,,,,,,,
1952,333.5,8.6,5.4,2.2,7.6,NA,3.4,17.0,1.5,1.0,NA,1.3,20.8,18.2,4.7,22.9,0.5,4.6,0.1,5.2,0.2,701.3,,,,,,,,,,
1953,328.3,8.6,5.1,2.3,7.4,NA,3.6,17.1,1.8,1.2,NA,1.3,21.3,17.7,4.8,22.5,0.2,4.1,0.2,4.5,0.2,691.7,,,,,,,,,,
1954,320.9,9.1,5.5,2.4,7.9,NA,3.8,16.5,2.2,1.3,NA,1.1,21.1,16.9,4.9,21.8,0.2,4.4,0.2,4.8,0.2,703.0,,,,,,,,,,
1955,321.1,9.3,5.4,2.5,7.8,NA,3.9,17.1,2.5,1.4,NA,2.9,23.8,16.4,4.7,21.1,0.2,5.4,0.2,5.8,0.2,713.2,,,,,,,,,,
1956,321.6,9.0,5.4,2.5,8.0,NA,4.4,17.2,2.8,1.3,NA,2.8,24.0,16.0,4.5,20.5,0.3,5.2,0.2,5.7,0.2,709.0,,,,,,,,,,
1957,318.0,8.5,5.1,2.5,7.6,NA,4.5,17.1,2.9,1.3,NA,2.8,24.1,15.5,4.6,20.1,0.2,5.2,0.3,5.7,0.3,691.4,,,,,,,,,,
1958,311.5,8.4,5.5,2.6,8.1,NA,4.6,17.0,3.0,1.3,NA,3.1,24.4,14.9,4.2,19.0,0.3,5.5,0.3,6.1,0.3,686.2,,,,,,,,,,
1959,305.1,8.0,5.2,2.8,8.0,NA,4.7,17.8,3.4,1.4,NA,3.4,25.9,14.4,4.6,19.0,0.3,6.1,0.4,6.8,0.3,672.2,,,,,,,,,,
1960,300.3,7.7,5.4,2.9,8.3,NA,4.7,17.4,3.6,1.3,NA,3.4,25.8,13.8,4.5,18.3,0.3,6.1,0.4,6.8,0.3,658.1,,,,,,,,,,
1961,292.9,7.5,5.6,2.8,8.5,NA,4.6,17.1,4.0,1.3,NA,3.4,25.8,13.3,4.8,18.1,0.3,6.2,0.4,6.9,0.3,645.6,,,,,,,,,,
1962,291.2,7.5,6.0,3.0,9.1,NA,4.6,17.0,4.5,1.3,NA,3.5,26.4,12.5,4.5,17.0,0.3,6.0,0.4,6.7,0.4,647.3,,,,,,,,,,
1963,292.0,7.1,6.1,3.1,9.2,NA,4.6,17.1,4.8,1.3,NA,3.5,26.7,11.7,4.8,16.5,0.3,5.8,0.4,6.5,0.4,638.6,,,,,,,,,,
1964,291.5,7.1,6.1,3.2,9.4,NA,4.7,17.3,5.1,1.4,NA,3.5,27.4,11.4,4.8,16.2,0.3,5.8,0.4,6.5,0.5,638.9,,,,,,,,,,
1965,290.7,6.6,6.1,3.4,9.5,NA,4.6,17.5,5.3,1.4,NA,3.7,27.9,10.8,5.0,15.8,0.3,5.5,0.4,6.2,0.6,624.1,,,,,,,,,,
1966,291.0,5.8,6.2,3.5,9.7,NA,4.6,17.2,5.5,1.4,NA,3.7,27.9,9.9,5.3,15.2,0.3,5.9,0.3,6.5,0.7,606.1,,,,,,,,,,
1967,276.6,5.5,6.4,3.7,10.0,NA,4.5,16.9,5.6,1.4,NA,3.8,27.7,8.9,5.0,13.9,0.3,5.5,0.3,6.1,0.9,580.4,,,,,,,,,,
1968,275.8,5.8,6.5,4.0,10.5,NA,4.6,17.3,5.8,1.5,NA,4.0,28.6,8.8,4.7,13.5,0.2,5.7,0.3,6.3,1.1,581.1,,,,,,,,,,
1969,273.7,5.6,6.7,4.2,10.8,NA,4.8,17.0,6.1,1.5,NA,3.8,28.4,7.8,4.9,12.7,0.2,5.7,0.3,6.2,1.1,573.3,,,,,,,,,,
1970,275.3,5.4,7.0,4.4,11.4,0.3,5.1,16.7,6.3,1.4,NA,3.5,27.9,7.0,5.0,12.0,0.2,5.3,0.2,5.8,1.4,565.5,,,,,,,,,,
1971,275.7,5.1,7.3,4.7,12.0,0.4,5.2,16.6,6.2,1.4,NA,3.3,27.6,6.7,5.0,11.7,0.2,5.2,0.3,5.7,1.5,552.8,,,,,,,,,,
1972,273.6,5.0,7.7,5.3,13.0,0.5,5.3,16.5,6.2,1.4,NA,3.3,27.4,6.3,4.7,10.9,0.1,4.6,0.2,4.9,1.8,555.1,,,,,,,,,,
1973,269.0,4.8,7.8,5.7,13.5,0.6,5.1,16.4,6.2,1.5,NA,3.1,27.2,5.9,4.2,10.1,0.1,5.3,0.2,5.5,1.8,572.1,,,,,,,,,,
1974,260.4,4.5,8.5,5.9,14.4,0.6,4.6,16.5,6.2,1.4,NA,2.8,26.9,5.5,3.4,8.9,0.1,4.1,0.2,4.4,2.1,536.8,,,,,,,,,,
1975,261.4,4.7,8.1,6.1,14.3,0.6,4.6,18.2,6.5,1.3,NA,2.4,28.5,5.2,3.5,8.7,0.1,3.3,0.2,3.5,2.2,551.2,,,,,,,,,,
1976,260.2,4.3,8.9,6.6,15.5,0.6,4.6,17.6,6.2,1.4,NA,2.1,27.3,4.9,3.6,8.5,0.2,3.5,0.2,3.8,2.4,535.4,,,,,,,,,,
1977,257.5,4.3,9.2,6.8,16.0,0.6,4.6,17.3,6.6,1.4,NA,2.0,27.2,4.3,3.9,8.1,0.2,3.3,0.3,3.7,2.4,530.5,,,,,,,,,,
1978,253.9,4.4,9.5,7.3,16.8,0.7,4.6,17.2,6.6,1.3,NA,1.9,26.9,4.0,3.5,7.5,0.3,3.1,0.2,3.6,2.4,549.6,,,,,,,,,,
1979,250.6,4.5,9.6,7.6,17.2,0.7,4.4,16.9,6.2,1.2,NA,1.7,26.1,4.1,3.3,7.4,0.3,3.3,0.2,3.8,2.7,554.7,,,,,,,,,,
1980,245.5,4.5,9.6,7.9,17.5,0.8,4.4,17.1,6.1,1.2,NA,1.6,26.0,3.8,3.3,7.0,0.3,3.0,0.2,3.5,2.7,528.7,,,,,,,,,,
1981,241.7,4.2,10.2,8.0,18.2,0.9,4.3,17.0,5.9,1.2,NA,1.9,26.0,4.0,3.2,7.2,0.4,2.1,0.2,2.7,2.7,510.0,,,,,,,,,,
1982,235.6,4.4,11.3,8.6,19.9,0.9,4.2,17.2,5.7,1.2,NA,1.9,26.0,4.0,3.0,7.0,0.4,2.1,0.2,2.7,2.9,532.1,,,,,,,,,,
1983,235.9,4.9,11.6,9.0,20.6,0.9,4.1,17.7,5.9,1.2,NA,1.9,26.7,3.8,3.2,7.1,0.4,2.2,0.2,2.8,3.1,556.5,,,,,,,,,,
1984,237.6,5.0,11.9,9.6,21.5,1.0,4.1,17.8,6.0,1.2,NA,2.0,26.9,3.7,3.7,7.4,0.4,2.5,0.2,3.1,3.2,600.2,,,,,,,,,,
